threshold,faucet,reduction,comp,1,2,3,4,5,6,7,8,9,10
18200,5,64,8,0,61,62,62,63,64,63,64,68,62
18200,6,65,8,0,62,63,63,64,65,63,65,70,64
18200,7,66,8,0,62,64,64,65,66,64,66,71,65
18300,4,63,8,0,61,62,62,62,63,62,63,66,60
18300,5,64,8,0,61,62,62,63,64,63,64,68,62
18300,6,65,8,0,62,63,63,64,65,63,65,70,63
18300,7,66,8,0,62,64,64,65,66,64,66,71,65
18300,8,67,8,0,63,65,65,66,67,65,68,73,66
18400,4,63,8,0,61,61,62,62,63,62,63,66,60
18400,5,64,8,0,61,62,62,63,64,63,64,68,62
18400,6,65,8,0,62,63,63,64,65,63,65,70,63
18400,7,66,8,0,62,64,64,65,66,64,66,71,65
18400,8,67,8,0,63,64,65,66,67,65,68,73,66
18500,4,63,8,0,61,61,62,62,63,62,62,66,60
18500,5,64,8,0,61,62,62,63,64,63,64,68,62
18500,6,65,8,0,62,63,63,64,65,63,65,70,63
18500,7,66,8,0,62,64,64,65,66,64,66,71,65
18500,8,67,8,0,63,64,65,66,67,65,68,73,66
18600,4,63,8,0,61,61,62,62,63,62,62,66,60
18600,5,64,8,0,61,62,62,63,64,63,64,68,62
18600,6,65,8,0,62,63,63,64,65,63,65,69,63
18600,7,66,8,0,62,64,64,65,66,64,66,71,65
18600,8,67,8,0,63,64,65,66,67,65,68,73,66
18700,4,63,8,0,61,61,62,62,63,62,62,66,60
18700,5,64,8,0,61,62,62,63,64,63,64,68,62
18700,6,65,8,0,62,63,63,64,65,63,65,69,63
18700,7,66,8,0,62,64,64,65,66,64,66,71,65
18700,8,67,8,0,63,64,65,66,67,65,67,73,66
18800,4,63,8,0,61,61,62,62,63,62,62,66,60
18800,5,64,8,0,61,62,62,63,64,62,64,68,62
18800,6,65,8,0,62,63,63,64,65,63,65,69,63
18800,7,66,8,0,62,64,64,65,65,64,66,71,65
18800,8,67,8,0,63,64,65,66,66,65,67,72,66
18900,4,63,8,0,61,61,62,62,63,62,62,66,60
18900,5,64,8,0,61,62,62,63,64,62,64,68,62
18900,6,65,8,0,62,63,63,64,64,63,65,69,63
