"bucket","lower_limit","upper_limit","num"
66375,162147.69956,162150.14250,1
67374,164588.19662,164590.63956,1
67426,164715.22950,164717.67244,1
67659,165284.43452,165286.87746,1
67856,165765.69370,165768.13664,1
73016,178371.26410,178373.70704,1
75309,183972.92552,183975.36846,1
75568,184605.64698,184608.08992,1
76783,187573.81908,187576.26202,1
77054,188235.85582,188238.29876,1
77812,190087.60434,190090.04728,1
78411,191550.92540,191553.36834,1
78670,192183.64686,192186.08980,1
79060,193136.39346,193138.83640,1
79339,193817.97372,193820.41666,1
80443,196514.97948,196517.42242,1
81443,198957.91948,198960.36242,1
82709,202050.68152,202053.12446,1
83290,203470.02966,203472.47260,1
83513,204014.80528,204017.24822,1
85075,207830.67756,207833.12050,1
86053,210219.87288,210222.31582,1
86668,211722.28098,211724.72392,1
87520,213803.66586,213806.10880,1
87741,214343.55560,214345.99854,1
87993,214959.17648,214961.61942,1
88026,215039.79350,215042.23644,1
88476,216139.11650,216141.55944,1
88805,216942.84376,216945.28670,1
88914,217209.12422,217211.56716,1
90302,220599.92494,220602.36788,1
90448,220956.59418,220959.03712,1
91257,222932.93264,222935.37558,1
92562,226120.96934,226123.41228,1
94686,231309.77390,231312.21684,1
95169,232489.71392,232492.15686,1
95671,233716.06980,233718.51274,1
96129,234834.93632,234837.37926,1
96310,235277.10846,235279.55140,1
97083,237165.50108,237167.94402,1
97569,238352.76992,238355.21286,1
99263,242491.11028,242493.55322,1
101577,248144.07344,248146.51638,1
105221,257046.14680,257048.58974,1
106847,261018.36724,261020.81018,1
107554,262745.52582,262747.96876,1
110560,270089.00346,270091.44640,1
110708,270450.55858,270453.00152,1
111119,271454.60692,271457.04986,1
112285,274303.07496,274305.51790,1
113952,278375.45594,278377.89888,1
114938,280784.19478,280786.63772,1
116301,284113.92200,284116.36494,1
117583,287245.77108,287248.21402,1
119977,293094.16944,293096.61238,1
120223,293695.13268,293697.57562,1
120356,294020.04370,294022.48664,1
121319,296372.59492,296375.03786,1
124715,304668.81916,304671.26210,1
126395,308772.95836,308775.40130,1
128014,312728.07822,312730.52116,1
128269,313351.02792,313353.47086,1
131269,320679.84792,320682.29086,1
131400,320999.87306,321002.31600,1
132254,323086.14382,323088.58676,1
133457,326025.00064,326027.44358,1
138921,339373.22480,339375.66774,1
139425,340604.46656,340606.90950,1
142326,347691.43550,347693.87844,1
143979,351729.61532,351732.05826,1
146911,358892.31540,358894.75834,1
147592,360555.95754,360558.40048,1
148075,361735.89756,361738.34050,1
149666,365622.61510,365625.05804,1
149832,366028.14314,366030.58608,1
150465,367574.52416,367576.96710,1
152920,373571.94186,373574.38480,1
154760,378066.95146,378069.39440,1
156330,381902.36726,381904.81020,1
157316,384311.10610,384313.54904,1
157935,385823.28596,385825.72890,1
162046,395866.21230,395868.65524,1
162265,396401.21616,396403.65910,1
162381,396684.59720,396687.04014,1
162516,397014.39410,397016.83704,1
164429,401687.73832,401690.18126,1
166353,406387.95488,406390.39782,1
166740,407333.37266,407335.81560,1
167335,408786.92196,408789.36490,1
